Date;Time;Temp_C;Hum;Press_Bar;TempCabine_C;Charge;SR_Wm2;WindPeak_ms;WindSpeed_Inst;WindSpeed_Avg;WindDir_Inst;WindDir_Avg
01/09/2024;00:00;19,54;57,72;1018,88;18,12;13,11;0,00;5,04;4,14;4,71;339,00;338,00
01/09/2024;00:10;19,14;57,67;1018,79;18,37;13,09;0,00;4,60;5,31;3,77;321,00;326,00
01/09/2024;00:20;18,71;59,62;1018,78;18,25;13,09;0,00;2,63;2,28;2,63;337,00;338,00
01/09/2024;00:30;17,95;65,52;1018,72;17,87;13,10;0,00;0,16;0,14;0,14;283,00;282,00
01/09/2024;00:40;18,32;66,51;1018,60;17,37;13,09;0,00;3,40;3,04;3,64;336,00;320,00
01/09/2024;00:50;19,38;58,48;1018,59;17,37;13,09;0,00;2,08;0,83;1,85;15,00;79,00
01/09/2024;01:00;18,55;61,37;1018,49;17,37;13,08;0,00;1,81;1,17;1,05;327,00;257,00
01/09/2024;01:10;19,00;60,81;1018,27;17,00;13,08;0,00;3,23;3,73;2,53;290,00;278,00
01/09/2024;01:20;19,24;58,94;1018,25;17,12;13,07;0,00;2,52;2,97;2,40;259,00;274,00
01/09/2024;01:30;19,77;58,46;1018,12;17,37;13,05;0,00;3,62;4,62;3,93;317,00;316,00
01/09/2024;01:40;19,59;62,43;1017,95;17,87;13,07;0,00;3,23;2,76;3,31;308,00;296,00
01/09/2024;01:50;19,21;60,33;1017,95;18,12;13,05;0,00;2,85;1,73;1,96;262,00;269,00
01/09/2024;02:00;18,44;57,61;1017,84;17,87;13,05;0,00;1,53;1,73;1,55;201,00;222,00
01/09/2024;02:10;18,06;62,50;1017,73;17,62;13,05;0,00;1,31;0,07;0,83;270,00;214,00
01/09/2024;02:20;18,81;59,06;1017,66;17,25;13,04;0,00;1,48;1,38;1,08;308,00;308,00
01/09/2024;02:30;20,19;52,46;1017,60;17,25;13,06;0,00;3,40;3,38;3,53;313,00;309,00
01/09/2024;02:40;20,06;50,63;1017,47;17,75;13,04;0,00;2,90;2,55;2,95;285,00;309,00
01/09/2024;02:50;19,69;48,88;1017,41;18,12;13,05;0,00;4,05;2,97;3,28;289,00;276,00
01/09/2024;03:00;17,60;65,95;1017,39;18,00;13,04;0,00;1,97;0,97;1,78;186,00;169,00
01/09/2024;03:10;17,23;66,76;1017,37;17,37;13,04;0,00;1,70;2,14;1,19;151,00;151,00
01/09/2024;03:20;18,62;61,32;1017,27;17,00;13,04;0,00;2,19;0,21;2,11;179,00;282,00
01/09/2024;03:30;17,88;68,16;1017,42;17,12;13,04;0,00;2,14;1,66;1,11;202,00;242,00
01/09/2024;03:40;18,47;62,20;1017,25;16,87;13,03;0,00;2,79;0,97;1,64;318,00;292,00
01/09/2024;03:50;16,72;75,22;1017,41;16,62;13,01;0,00;1,53;0,21;0,73;317,00;244,00
01/09/2024;04:00;16,84;70,69;1017,46;16,25;13,02;0,00;2,19;1,10;1,21;171,00;175,00
01/09/2024;04:10;16,39;72,35;1017,62;16,12;13,01;0,00;1,42;0,55;1,21;129,00;138,00
01/09/2024;04:20;16,47;73,25;1017,76;15,88;13,02;0,00;1,15;0,69;0,44;34,00;184,00
01/09/2024;04:30;16,27;75,68;1017,86;15,63;13,00;0,00;1,31;0,14;0,68;130,00;138,00
01/09/2024;04:40;16,39;78,38;1017,89;15,25;12,98;0,00;1,31;0,48;1,07;263,00;280,00
01/09/2024;04:50;15,96;87,48;1017,98;15,13;13,00;0,00;1,92;2,35;2,19;181,00;161,00
01/09/2024;05:00;16,01;85,46;1018,13;15,25;12,97;0,00;1,37;0,48;1,22;156,00;157,00
01/09/2024;05:10;15,94;85,43;1018,22;15,13;12,97;0,00;1,92;1,73;1,69;172,00;172,00
01/09/2024;05:20;15,95;87,46;1018,28;15,13;12,96;0,00;0,99;1,10;0,47;233,00;201,00
01/09/2024;05:30;15,90;87,80;1018,43;15,00;12,96;0,00;1,75;0,62;1,51;202,00;206,00
01/09/2024;05:40;15,85;89,42;1018,56;15,00;12,95;0,00;1,53;1,93;1,31;216,00;204,00
01/09/2024;05:50;15,52;91,62;1018,77;15,13;12,93;0,00;2,19;1,93;1,85;185,00;185,00
01/09/2024;06:00;15,57;89,71;1018,91;15,13;12,93;0,00;0,71;0,41;0,58;155,00;154,00
01/09/2024;06:10;15,71;89,68;1019,13;14,87;12,93;0,00;1,53;1,93;1,49;227,00;219,00
01/09/2024;06:20;15,94;88,82;1019,14;14,87;12,92;0,00;1,81;1,45;1,03;274,00;273,00
01/09/2024;06:30;15,68;91,56;1019,25;15,00;12,93;0,00;1,70;1,66;1,53;254,00;249,00
01/09/2024;06:40;16,60;86,62;1019,35;16,37;12,99;27,73;0,71;0,76;0,45;21,00;142,00
01/09/2024;06:50;17,09;84,37;1019,39;18,87;13,01;60,80;0,88;0,55;0,60;297,00;320,00
01/09/2024;07:00;16,75;85,61;1019,57;21,50;13,05;91,97;1,10;0,35;0,18;242,00;243,00
01/09/2024;07:10;16,60;87,34;1019,85;23,38;13,17;127,77;1,26;1,10;1,37;191,00;196,00
01/09/2024;07:20;16,63;87,21;1019,85;24,87;13,33;162,20;1,59;1,59;1,47;203,00;196,00
01/09/2024;07:30;17,63;83,62;1019,85;26,25;13,48;199,87;0,88;0,14;0,47;218,00;238,00
01/09/2024;07:40;17,75;82,17;1019,90;27,87;13,56;235,20;1,81;0,00;0,39;209,00;199,00
01/09/2024;07:50;17,68;81,72;1019,99;29,00;13,55;269,20;0,99;0,97;1,04;140,00;147,00
01/09/2024;08:00;18,12;72,79;1020,11;28,00;13,62;231,53;3,51;4,42;3,45;142,00;132,00
01/09/2024;08:10;17,97;68,90;1020,33;26,75;13,63;339,80;2,85;3,04;3,03;142,00;145,00
01/09/2024;08:20;18,86;65,91;1020,37;27,50;13,65;372,50;2,47;2,48;2,00;149,00;166,00
01/09/2024;08:30;18,73;64,25;1020,61;28,00;13,76;408,17;2,79;2,76;2,86;160,00;161,00
01/09/2024;08:40;20,23;58,76;1020,61;28,75;13,78;440,80;1,37;0,00;0,94;175,00;163,00
01/09/2024;08:50;23,17;50,49;1020,72;30,75;13,85;471,13;2,19;0,07;0,66;24,00;237,00
01/09/2024;09:00;21,86;52,90;1020,77;32,00;13,89;502,70;1,75;1,66;1,32;187,00;160,00
01/09/2024;09:10;22,57;50,26;1020,74;32,00;13,85;533,47;0,99;0,83;0,15;294,00;173,00
01/09/2024;09:20;23,02;46,41;1020,82;33,13;13,87;562,90;1,75;0,97;1,31;306,00;324,00
01/09/2024;09:30;23,37;47,30;1020,82;33,50;13,87;588,20;3,01;0,83;2,20;333,00;312,00
01/09/2024;09:40;22,86;48,08;1020,74;33,38;13,87;614,13;3,29;3,66;3,35;321,00;304,00
01/09/2024;09:50;22,61;46,13;1020,77;32,88;13,87;640,33;3,73;3,80;4,22;302,00;297,00
01/09/2024;10:00;23,63;43,02;1020,77;32,38;13,90;662,13;3,94;3,66;3,80;281,00;284,00
01/09/2024;10:10;24,19;39,77;1020,67;32,25;13,90;683,30;4,33;3,59;3,14;311,00;307,00
01/09/2024;10:20;24,02;39,91;1020,59;32,75;13,90;702,50;3,56;3,80;3,59;304,00;317,00
01/09/2024;10:30;25,90;35,86;1020,47;33,13;13,90;720,97;3,62;2,76;3,78;352,00;319,00
01/09/2024;10:40;25,18;36,60;1020,25;33,38;13,90;737,67;3,12;1,17;2,32;348,00;209,00
01/09/2024;10:50;25,63;35,48;1020,18;33,75;13,92;755,40;3,78;2,90;2,95;357,00;203,00
01/09/2024;11:00;26,60;32,93;1019,93;33,88;13,92;768,57;3,51;2,69;2,90;359,00;178,00
01/09/2024;11:10;26,29;31,39;1019,61;33,75;13,92;782,60;3,23;3,45;2,92;0,00;290,00
01/09/2024;11:20;27,01;28,26;1019,61;33,63;13,90;794,70;4,22;3,11;3,89;348,00;331,00
01/09/2024;11:30;28,09;27,15;1019,44;33,75;13,92;801,43;4,00;3,66;3,33;322,00;296,00
01/09/2024;11:40;29,56;25,88;1019,16;34,00;13,92;810,90;3,23;3,24;2,84;342,00;303,00
01/09/2024;11:50;27,67;27,13;1018,98;33,88;13,94;814,57;4,11;4,07;4,06;20,00;235,00
01/09/2024;12:00;29,11;27,24;1018,83;33,38;13,92;817,83;3,45;3,45;3,13;329,00;301,00
01/09/2024;12:10;29,62;24,47;1018,70;33,25;13,92;819,30;3,67;2,83;2,99;334,00;323,00
01/09/2024;12:20;29,35;23,08;1018,54;33,63;13,93;807,87;2,85;2,97;2,53;289,00;292,00
01/09/2024;12:30;29,86;22,28;1018,43;34,13;13,93;812,27;5,04;6,07;2,20;242,00;247,00
01/09/2024;12:40;28,43;22,34;1018,14;34,00;13,92;805,53;8,11;6,42;7,81;201,00;212,00
01/09/2024;12:50;28,80;20,82;1017,96;33,38;13,92;796,80;4,49;6,07;4,52;312,00;249,00
01/09/2024;13:00;29,07;20,04;1017,87;33,25;13,92;788,67;4,33;3,11;3,68;225,00;218,00
01/09/2024;13:10;29,06;21,19;1017,66;33,50;13,92;776,50;6,74;7,52;7,26;215,00;213,00
01/09/2024;13:20;29,22;20,61;1017,38;33,38;13,94;761,37;6,08;6,63;4,59;146,00;168,00
01/09/2024;13:30;29,03;20,62;1017,25;33,13;13,93;748,30;6,41;4,07;5,88;173,00;168,00
01/09/2024;13:40;29,39;20,44;1017,01;33,38;13,94;727,93;5,97;4,21;5,02;185,00;179,00
01/09/2024;13:50;29,52;20,20;1016,92;34,00;13,94;709,47;5,75;5,25;5,00;174,00;165,00
01/09/2024;14:00;29,79;18,83;1016,70;33,75;13,94;687,43;5,26;4,42;4,93;127,00;141,00
01/09/2024;14:10;30,10;19,22;1016,44;33,50;13,94;669,53;3,07;3,04;1,55;175,00;179,00
01/09/2024;14:20;29,68;22,26;1016,30;33,75;13,94;647,67;5,70;7,11;5,44;156,00;163,00
01/09/2024;14:30;32,09;18,54;1016,28;33,88;13,93;626,33;2,68;0,90;1,83;186,00;247,00
